time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
18093913394252,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093913612844,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093913830530,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093914078493,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093914297178,869.208,-124.265,1066.99,243.416,1.73956,37.6598
18093914515289,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093914733752,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093914951937,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093915170085,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093915387826,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093915605493,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093915823881,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093916053733,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093916282085,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093916500548,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093916719493,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093916938122,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093917156493,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093917374215,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093917597993,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093917817252,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093918035826,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093918253696,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093918472974,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093918691252,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093918909752,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093919127955,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093919346085,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093919564141,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093919782696,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093920023233,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093920251807,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093920470567,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093920688696,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093920907400,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093921126067,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093921350233,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093921568974,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093921787826,869.208,-124.265,1066.99,225.99,10.4373,16.8462
18093922006067,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093922224955,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093922443233,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093922662030,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093922880493,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093923098678,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093923316955,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093923535196,902.167,-109.616,1086.03,225.99,10.4373,16.8462
18093923753678,902.167,-109.616,1086.03,0,0,0
18093923969770,902.167,-109.616,1086.03,0,0,0
18093924214270,902.167,-109.616,1086.03,0,0,0
18093924430381,902.167,-109.616,1086.03,0,0,0
18093924645678,902.167,-109.616,1086.03,0,0,0
18093924861252,902.167,-109.616,1086.03,0,0,0
18093925083011,902.167,-109.616,1086.03,0,0,0
18093925299067,902.167,-109.616,1086.03,0,0,0
18093925515493,902.167,-109.616,1086.03,0,0,0
18093925730993,902.167,-109.616,1086.03,0,0,0
18093925946696,902.167,-109.616,1086.03,0,0,0
18093926162326,902.167,-109.616,1086.03,0,0,0
18093926378030,902.167,-109.616,1086.03,0,0,0
18093926593567,902.167,-109.616,1086.03,0,0,0
18093926809289,902.167,-109.616,1086.03,0,0,0
18093927024807,902.167,-109.616,1086.03,0,0,0
18093927240844,902.167,-109.616,1086.03,0,0,0
18093927456863,902.167,-109.616,1086.03,0,0,0
18093927672418,902.167,-109.616,1086.03,0,0,0
18093927887974,902.167,-109.616,1086.03,0,0,0
18093928106715,902.167,-109.616,1086.03,0,0,0
18093928331567,902.167,-109.616,1086.03,0,0,0
18093928547344,902.167,-109.616,1086.03,0,0,0
18093928762955,902.167,-109.616,1086.03,0,0,0
18093928978789,902.167,-109.616,1086.03,0,0,0
18093929193548,902.167,-109.616,1086.03,0,0,0
18093929409326,902.167,-109.616,1086.03,0,0,0
18093929624696,902.167,-109.616,1086.03,0,0,0
18093929840696,902.167,-109.616,1086.03,0,0,0
18093930085233,902.167,-109.616,1086.03,0,0,0
